cellType	geneMarker
Neutrophils	18A2,24p3,42A,AAAT,ACKR5,ACPA,ADAM8,ADP-GK,ADPGK,AGP7,AGTAVPRL,AII,AMICA,AMICA1,anti-elastase,ARG2,ASCT2,ASPRV1,AVP,AZAMP,AZU,AZU1,BGP,BGP1,BST1,C-ANCA,C11orf32,C1orf7,C5A,C5AR,C5AR1,C5R1,CAGA,CAGB,CALLA,CAMP,CAP18,CAP37,CAPL,CAR1,CCL3,CCL6,CCL9,CCR1,CCRL2,CD10,CD114,CD11b,CD11B,CD11c,CD11C,CD121b,CD14,CD15,CD156,CD156a,CD157,CD16a,CD177,CD181,CD182,CD191,CD24,CD24A,CD282,CD2BP1,CD2BP1L,CD2BP1S,CD31,CD33,CD354,CD368,CD62L,CD64,CD64A,CD66a,CD66b,CD88,CDw128a,CEACAM1,CEACAM8,CFP,CG,CGLA,CGLB,CGM6,CHIL3,CHS,CIAS1,CINC-2a,CKRX,CLEC4D,CLEC4E,CLECSF8,CLECSF9,CLG1,CLG4B,CLR1.1,CMKAR1,CMKAR2,CMKBR1,CR3A,CRAM-A,CRAM-B,CRP,CSF3R,CTSG,CXCL2,CXCR1,CXCR2,Dectin-3,DEF1,DEFA1,DEFA2,DEFA3,DKFZp434B195,DOCK8,EI,ELA2,ELANE,ELANH2,ELFT,FALL-39,FALL39,FCAS,FCGR1A,FCGR3A,FCU,FDF03,FLJ00026,FLJ00152,FLJ00346,FLJ00391,FLJ25084,FUC-TIV,FUT4,G0S19-1,GCSFR,Gm638,gp250,GRO2,GROb,H-PIP,HDC,HLE,HLF2,hLHRc,HNA2A,HNE,HNP-1,HNP-3,HP,HUMAZUR,IL-1B,IL1-BETA,IL1B,IL1F2,IL1R2,IL1RB,IL8RA,IL8RB,ITGAM,ITGAX,JAML,LAM-1,LAM1,LCN2,LD78ALPHA,Leu-8,LIAG,LL37,LNHR,LR11,LRG,LRG1,LSEL,LTF,LY6G,Lyam-1,LYAM1,LYST,LYZ,M7V1,MAC387,MBT,MCL,MGC20461,MGSA-b,MIF,mincle,MIP-1-alpha,MIP-2a,MIP1aR,MLCK1,MME,MMP8,MMP9,Mpcl,MPO,MRGPRA2B,MRP14,MS2,MWS,MYLK,MYLK1,NALP3,NAZC,NB1,NCF1,NCF1A,NE,NGAL,NGP,NIF,NLRP3,NOXO2,OAS3,OSM,P29,p47phox,P8,P9KA,PAPAS,PECAM1,PEL98,PFC,PI2,PILRA,PLNHR,PR-3,PRTN3,PRV1,PSTPIP,PSTPIP1,PTGS2,PYPAF1,RDRC,RETNLG,S100A4,S100A8,S100A9,SASPase,SCYA3,SCYAR1,SCYB2,SELL,SERPINB1,SH3PXD1A,SIGLEC-3,SIGLEC3,SLC1A5,SLIC-1,SLIC1,smMLCK,SNX20,SORL1,SorLA,SorLA-1,STFA2L1,Taps,TIL4,TLR2,TREM-1,TREM1,TREM3,ZIR8
NK cell	18A2,19A,1C7,2B4,42A,47.11,Act-2,ADAMTS14,ADCP2,AHR,AMB11,AT744.1,ATAC,bA73O6.2,bHLHe76,BTKL,C-Kit,CAP3,CAPL,CAR5B,CCL3,CCL4,CCL5,CCP-X,CCPI,CD117,CD11b,CD11B,CD11c,CD11C,CD122,CD132,CD158A,CD158E1,CD158e1/2,CD158e2,CD159a,CD159c,CD161,CD16a,CD184,CD2,CD218a,CD244,CD247,CD26,CD27,CD306,CD314,CD319,CD328,CD33,CD335,CD337,CD352,CD3G,CD3H,CD3Q,CD3Z,CD49b,CD49B,CD69,CD7,CD8,CD85j,CD8A,CD94,CDHR15,CED,CGL-1,CGL-2,CGL1,CHSY1,CIDX,cl-11,cl-2,cl-42,CLAX,CLEC15A,CLEC2C,CLEC2D,CLEC5B,CLEC5C,CMA1,CR3A,CRACC,CS1,CSF2,CSP-B,CSP-C,CSPB,CSS1,CST7,CTLA2A,CTLA3,CTSGL1,CTSGL2,CTSW,CXCR4,D12S2489E,D17S136E,D2S201E,D2S69E,DFNB23,DIL1,DKFZp761P1010,DOCK2,Dok-2,DOK2,DPD1,DPP4,DRAL,DUSP2,F2771,FASL,FCGR3A,FGFBP2,FHL2,FLJ00391,FLJ11598,FLJ21616,FLJ34032,fusin,G0S19-1,GM-CSF,GMCSF,GMP-17,GNLY,GZMA,GZMB,GZMH,GZMK,GZMM,HFSP,HM89,HMBOX1,HNF1LA,hNKR-P1A,HOPX,HOT1,HPLH2,HSD11,HSD11B,HSD11B1,HSY3RR,IFNG,IL-1Rrp,IL15RB,IL18R1,IL1RRP,IL2RB,IL2RG,IL32,ILT2,IMD4,ITGA2,ITGAM,ITGAX,KALI,KALIb,KIAA0209,KIAA0990,KIAA1479,KIR2DL1,KIR3DL1,KIT,KLR,KLRA1,KLRA10,KLRA3,KLRA4,KLRA5,KLRA7,KLRA8,KLRA9,KLRB1,KLRB1A,KLRB1B,KLRB1C,KLRB1F,KLRC1,KLRC2,KLRD1,KLRE1,KLRF1,KLRG1,KLRK1,LAG-2,LAG2,LAGY,LAIR2,LAT,LD78ALPHA,LESTR,LEU-9,LILRB1,LIR-1,LIR1,LLT1,LMET1,LPTN,LTN,Ly108,LY117,LY94,MAFA,MAFA-L,MET1,MGC17164,MIP-1-alpha,MIP-1-beta,MIR-7,MS4A4B,NAIL,NCR1,NCR3,NECC1,NK-p46,NK4,nkat1,nkat3,NKB1,NKB1B,NKG2,NKG2-A,NKG2-B,NKG2-C,NKG2-D,NKG2D,NKG5,NKG7,NKp30,NKP46,NKp80,NKR-P1,NKR-P1A,NKR2B4,Nmrk,NOK,NPY3R,NPYY3R,NTB-A,NTBA,OB1,OCIL,p56dok-2,p58.1,p75/AIRM1,P9KA,PAC-1,PBHNF,PBT,PCDH15,PEL98,PFP,PI9,PLZF,PRF1,PRSS,PSCTK5,PTK4,QA79,RANTES,RLK,S100A4,S152,SAMD3,SCFR,SCIDX1,SCM-1,SCM-1a,SCM-1b,SCYA3,SCYA4,SCYA5,SCYC1,SCYC2,SDR26C1,SECT,SEMA6D,SERPINB9,SERPINB9B,SF2000,SH2D2A,SIGLEC-3,SIGLEC-7,SIGLEC19P,SIGLEC3,SIGLEC7,SIGLECP2,SISd,SLAMF4,SLAMF6,SLAMF7,SLIM3,SMAP31,SPON2,STYK1,SuRTK106,T-bet,TAIF,TAIFb,TAIFd,TBLYM,TBX21,TCP228,TGFB,TGFB1,TGFbeta,TKL,TLA519,TNFRSF7,Tp40,TP41,Tp55,TRDC,TRYP2,TSAd,TXK,USH1F,XCL1,XCL2,ZBTB16,ZNF145
Non-classical monocyte	CD11b,CD11c,CD123,CD14,CD15,CD16,CD33,CD66b,CEACAM8,CEAM8,CX3C1,CX3CR1,FCG3A,FCG3B,FCGR3A,FCGR3B,FUT4,HLA-DR,HLA-DR family,IL3RA,ITAM,ITAX,ITGAM,ITGAX,SBP2L,SECISBP2L,SLAN
Non-switched B cell	CD27,D27,IgD,IgD family
Non-switched memory B cell	CD19,CD27,IgD,IgD family
Noradrenergic neurons	AADC,C17orf26,DBH,DBM,DDC,DYT5b,FLJ23984,NHA2,NHEDC2,SLC18A2,SLC18A3,SLC39A11,SLC6A2,SLC6A5,SLC9B2,SVAT,SVMT,TH,VACHT,VMAT2
Nucleus pulposus cell	CA12,CAH12,CD24,FOXF1,K1C19,KRT19,PAX1,PTN
Null cell	N-MICG
Nuocytes	AILIM,ALRH,ARG1,BCL11B,BHR1,CD127,CD278,CRL2,CRL4,CRLF2,CTIP-2,CTIP2,DER4,EDF,EVI27,FIT-1,GATA3,HDR,hRIT1-alpha,ICOS,IL-13,IL-5,IL13,IL17BR,IL17RB,IL17RH1,IL1RL1,IL33R,IL5,IL7R,IL7RA,L-PGDS,MGC116786,MGC116788,MGC116789,NR1F1,P600,PTGDS,ROR1,ROR2,ROR3,RORA,RZRA,ST2,ST2V,TSLPR,ZNF856B
Olfactory epithelial cell	ABHD16A,ABHD3,ACBD7,ACSL6,ACSM4,AF1,AK1,AMY-1,ANO2,ARL6,ATF5,ATPGD1,B9D1,bA2K17.3,bA451M19.3,bA455B2.2,bA459F3.4,BAT5,BBS3,BIG-2,BND7,BORCS7,C10orf132,C10orf133,C10orf32,C11orf29,C11orf81,C12orf3,C12orf68,C14orf179,C1orf102,C1orf117,C1orf164,C1orf192,C1orf230,C1orf30,C1orf36,C2orf24,C8orf55,C9orf121,CACNB3,CACNLB3,CAL2,CALB2,CARNS1,CART,CARTPT,CASP6,CBX4,CCDC184,CCDC2,CCDC28B,CCPG1OS,CDHR13,CERS5,CFAP126,CGI-57,CHP3,CILD24,CKMT1,CLDN9,CLGN,CLSTN2,CMG-1,CMG1,CMIP,CNCA,CNCA1,CNCA2,CNG2,CNG5,CNGA2,CNGA4,CNGB2,CNPPD1,CNTN4,COE2,COE3,CPD,CS2,CSTN2,CT122,CT22,CTXN3,Cupidin,CWC22,CYB561,CYB561A1,D6S82E,DCDC2A,DFNA68,DFNB88,DHQU,DIA4,DKFZP434B103,DKFZp434C0328,DKFZP434F124,DKFZp564L2423,DKFZp566D234,DKFZP586B0923,DKFZp667B0210,DNAJB14,DPDE2,DSC92,DSCD75,DUSP14,DUSP8,EBF2,EBF3,EFCAB10,EFNA3,EFNA5,Ehk1-L,EIF4GL,ELMOD3,ELP70,EMAP2,EML2,ENDOD1,EPB7,Epb7.2l,EPB72,EPLG3,EPLG7,EPPB9,ERK7,ERK8,ETHA,FACL6,FAIM,FAIM1,FAM131C,FAM134B,FAM81A,FAM92B,FENS-1,FETUB,FGF12,FGF12B,FHF1,Flattop,FLJ10582,FLJ10597,FLJ10620,FLJ11099,FLJ11500,FLJ12303,FLJ12838,FLJ12953,FLJ14281,FLJ14594,FLJ20152,FLJ20607,FLJ21977,FLJ22621,FLJ23516,FLJ23577,FLJ25304,FLJ31564,FLJ32173,FLJ32724,FLJ32753,FLJ36032,FLJ36766,FLJ38219,FLJ39113,FLJ40752,FLJ42958,FLJ44299,FLJ46312,FLJ90193,FLRT1,Fltp,FRRS2,fSAPb,FSTL5,G(gamma)13,Gababrbp,GADL1,GFY,GGF,Glup,GNAL,GNG13,GOLGA7B,Goofy,GRAIL,GRAMD1C,h2-35,H2B,H2B/q,H2BFQ,HAK005771,HB5,Hcam3,HIST2H2BE,HKSHIIIC,HOMER-2,HOMER-2A,HOMER-2B,HOMER2,HOTTL,hPC2,HPCN1,HRG,hSyn,HVH-5,IB2,IFT139A,IFT43,IFT54,IFT74,IL-1RAcPIP,IMPDH1,JAKMIP1,JAMIP1,JIP2,JK1,KAT,KBP,KCNA5,KCNC4,KEPI,KIAA0227,KIAA0298,KIAA0830,KIAA0837,KIAA1263,KIAA1279,KIAA1394,KIAA1435,KIAA1604,KIAA1801,KIAA1848,KIF1BP,KIF9,KLHL5,KLP1,KPL2,Kv1.5,Kv3.4,LABH3,LACS5,LASS5,LCA11,LCA12,LERK3,LERK7,LERN1,LINGO1,LMAN2L,LOC387856,LQT10,LRP16,LRRC45,LRRIQ1,LRRN6A,MACROD1,mandaselin,MANEA,MAPK15,MAPK8IP2,MAPKAP1,MARLIN1,MCT11,MEIG1,MGC104186,MGC10744,MGC1203,MGC16028,MGC20806,MGC21624,MGC26690,MGC2745,MGC35450,MGC45411,MGC78665,MIP-T3,MIPT3,MKP-L,MKP6,MKS9,MLF1,MYCBP,NAT14,Nav1.7,NBP16,NCM,NCRNA00166,NDF,NE-NA,NENA,NG26,NGRN,NMOR1,NQO1,NR1B3,NRG1,NRG1-IT2,NXNL2,NY-BR-81,OCNC1,OCNC2,OCNCa,OCNCalpha,OCNCALPHA,OCNCb,OMP,ORMDL3,OSCP1,PACRG,PARK2CRG,PCOLCE2,PCPE2,PDE1C,PDE4A,PKIB,PPP1R14C,PRKACN2,PRKM8IPL,QR1,RAB3B,RARC,RARG,RBED1,RBM29,RD3,RdCVF2,RETREG1,RIC8,RIC8B,RIIAD1,RNF121,RNF128,RNF220,RP10,RP4-622L5.5,RP55,RSP44,RSPH1,RSPH10A,RTP1,RTP2,S100A5,S100D,SCN4B,SCN9A,SGPL1,SH3GLB2,SIAH2,SIN1,SLC16A11,SPA17,SPATA39,SPEF2,SPG68,SPL,SPOCK,SPOCK1,SRO,STI2,STOM,STOML3,Strap,SULT1D1,sWSS2608,TESC,testican-1,THEM6,TIC1,TIF1D,TMEM107,TMEM16B,TMEM74BOS,TOLLIP,TRAF3IP1,Trh4,TRIM66,TSGA2,TSTD1,TTC20,TTC21A,TTC5,TTC9,TTC9A,TTLL3,Vesl-2,VIPL,WDF1,WDFY1,WDR54,Z3CXXC1,Z3CXXC2,ZFYVE17
Oligodendrocyte	6242,6319,ACAT2,ACK1,ACTG,ACTG1,ACY2,ADAMTS4,AF1L2,AFAP1L2,AMOL2,AMOTL2,ANF,ANGL2,ANGPTL2,APOD,ARL4A,ASIC1,ASPA,ATCAY,ATP5E,ATP5F1E,ATS4,BIN1,C17orf76-AS1,C1AS1,C2orf27A,CAD13,CB27A,CDH13,CDHR1,CDK18,CGT,CLD11,CLDN11,CN37,CNP,COX7C,CRB1,CRUM1,CSEN,CSPG4,CXADR,CXAR,CXB1,DAAM2,DHC24,DHCR24,DHCR7,DLL1,DLL3,DPYD,EAA3,EBP,EEF1B2,EEF2,EF1B,EF2,EIF3E,EIF3L,EPN2,ERG24,ERMIN,ERMN,ETBR2,FA2H,FABP7,FAU,FDPS,FERM1,FERMT1,FGFBP3,FGFP3,FPPS,FXYD6,GAP43,GELS,GJB1,GNB2L1,GPR17,GPR37,GPR37L1,GRIA2,GRIA4,GRIK2,GRM3,GSN,HIP1,HIPK2,HTF4,IFITM10,IFM10,KCNH8,KCNIP3,KLK6,KLRC2,LDHB,LGI3,LHFPL3,LHPL3,LIMA1,LIMS2,LMF1,LPAR1,LPPR1,LRRC75A,LRRN1,MA6D1,MAG,MAL,MAML2,MAP1A,MAP2,MAP6D1,MARCKSL1,MBP,MEST,MICA1,MICAL1,MIF,MOBP,MOG,MRP,MTSS1,MYPR,MYT1,NACA,NAP1L1,NDKA,NDKB,NEU4,NEUM,NEUR4,NKG2C,NME1,NME2,NOGO,NP1L1,NPM,NPM1,NPPA,NXPH1,Olig 1,Olig 2,Olig 3,OLIG1,OLIG2,OLIG3,OMG,OMGP,OPALI,OPALIN,OPCM,OPCML,OSP,P2RX7,PCLI1,PGRC1,PGRMC1,PHACTR3,PHAR3,PHLA1,PHLB1,PHLDA1,PHLDB1,PID1,PKHB1,PLEKHB1,PLP1,PLPPR1,PLPR1,POLR2F,PP14A,PPP1R14A,QCR7,RAB2A,RAB33A,RACK1,RB33A,RGMB,RGR,RL13A,RL31,RPAB2,RPL13A,RPL31,RPS17,RPS17L,RPS2,RPS23,RPSAP58,RS17,RS2,RS23,RS30,RTKN,RTN4,S14L5,SCD,SEC14L5,SERC5,SERINC5,SGK1,SGMR2,SHC4,SHD,SHISA4,SHSA4,SIR2,SIRT2,SLC1A1,SNX1,SNX22,SOX10,SOX8,TAGL3,TAGLN3,TBB3,TBB4A,TBB5,TCF12,TEFF2,THIC,THY1,TM7SF2,TMEFF2,TMEM97,TMSB10,TMSB4X,TNK2,TRAF4,TTP_HUMAN,TUBB,TUBB3,TUBB4A,TYB10,TYB4,UGT8,UQCRB,VIPR2,WSCD1,ZCCHC24,ZCH24,ZDHC9,ZDHHC9,ZEB2
Oligodendrocyte precursor cell	LHFPL3,LHPL3,MEG11,MEGF11,PCD15,PCDH15,PDGFRA,PGFRA
Oligodendrocyte progenitor cell	A2B5,ABRACL,ABRAL,ACBP,AF1Q,ALCAM,ANGL2,ANGPTL2,ANXA5,APOD,ARC,ARL4A,B2M,B2MG,BC11A,BCAN,BCHE,BCL11A,BRINP3,BRNP3,C2orf80,C8orf46,CA10,CADM2,CAH10,CB080,CD166,CD24,CD63,CD82,CD9,CH046,CHLE,CN023,CN37,CNP,CNTN1,CO9A1,COKA1,COL20A1,COL9A1,CSPG4,CSPG5,CSRP2,CST3,CYTC,DBI,DCX,DUS6,DUSP6,E41L2,EDNRB,ELAV4,ELAVL4,ENC1,EPB41L2,EPN2,ETV1,ETV5,FIBIN,GATM,GBG7,GDN,GNG7,GPM6B,GPR17,GRID2,IBPL1,IGFBPL1,ITB8,ITGB8,ITM2C,KANK1,LHFPL3,LHPL3,LIMA1,LINC01551,LMF1,LRC4C,LRRC4C,LSAMP,LUZP2,MLLT11,MMP2,MT3,MYP2,NDF2,NDF6,NEUROD2,NEUROD6,NG2,NKAI4,NKAIN4,NKX2-2,NKX22,NOVA1,NSG1,NXPH1,OCAD2,OCIAD2,OLIG1,OLIG2,OMG,OMGP,PCD15,PCDH15,PDE4B,PDGFR-alpha,PDGFRA,PGCB,PGFRA,PKHB1,PLAT,PLEKHB1,PLLP,PMP2,PON2,PPAP2B,PSAT1,PTN,PTPRZ,PTPRZ1,RAB31,RAMP1,RFTN2,RHOC,RND3,RTN1,S100B,S35F1,SCD5,SCN1A,SCRG1,SE6L1,SEM5A,SEMA5A,SERC,SERPINE2,SEZ6L,SHOT1,SHTN1,SIR2,SIRT2,SLC35F1,SLIK2,SLITRK2,SOX10,SOX4,SOX6,SOX8,SPARC,SPAT6,SPATA6,SPRC,SPRY1,SPRY4,SPY1,SPY4,STMN2,SYT1,T22D4,TBB3,TMEM161B-AS1,TMSB10,TPA,TRIB2,TSC22D4,TSN7,TSPAN7,TTYH1,TUBB3,TYB10
Oligodendrocytes	AADC,ACY2,ADAMTS-2,ADAMTS4,ADMP-1,AIBC1,ANILLIN,ANLN,ARRDC2,ARSG,ASPA,ATGL,bA243J16.5,bA243J16.6,BACE,BACE1,BCAS1,BEK,BHLHB1,BHLHB6,Bhlhb7,bHLHe19,bHLHe20,bHLHe21,BRAL1,Brt,Bssp,BTN6,BTNL11,C11orf9,C14orf69,C20orf35,C20orf57,C6orf102,C9orf164,C9orf26,CARMQ1,CD100,CD104,CD146,CD332,CEK3,CFAP48,CGI-89,CHRMQ1,CLDN11,CLDN14,CLONE24945,CMTX,CMTX1,CNTF,coll-4,CRE-BPA,CREB5,CX30.2,CX32,CX46.6,CX47,CXorf11,DBNDD2,DDC,desnutrin,DFNB29,dJ1043E3.1,dJ137F1.4,dJ188D3.1,DKFZp451I2418,DKFZP566N034,DKFZp586H0523,DNC,DOM,DPY19L1,Dtk,DUSP15,DVS27,ECT1,Edg-8,EDG8,EDNRBL,EFNB3,ELOVL7,ELP79,EMAP,EMAPL,EML1,ENPP2,ENPP6,EPHB1,EPHT2,EPLG8,ERMIN,ERMN,Etk-2,FA2H,FAAH,FAS,FASN,FAXDC1,FGFR2,FLJ20551,FLJ20645,FLJ23563,FLJ25287,FLJ25530,FLJ38975,FLJ39737,FP17548,GAKIN,GALC,GAMT,GJA12,GJB1,GJC2,GJC3,GJE1,GLIALCAM,GMA,GPM6C,GPR37,GPR62,GTX,H_GS165L15.1,HAPLN2,HCNTF,HDAC11,Hek6,hepaCAM,HEPACAM,hET(B)R-LP,HSMNP1,HsT19550,HTMP10,HuEMAP,ICHYN,IL1F11,IL33,IP3R2,iPLA2zeta,ITGB4,ITPR2,JN,JWS,K-SAM,KGFR,KIAA0420,KIAA0535,KIAA0639,KIAA0688,KIAA0727,KIAA0792,KIAA0877,KIAA1001,KIAA1189,KIAA1200,KIF13B,KIF6,KLHL2,KLK6,Klk7,L-PGDS,LERK-8,MAG,MAV,MBP,MCAM,MCPHA,MGC17299,MGC33317,MGC33971,MOG,MRF,MUC18,MUP1,MYO1D,myr4,MYRF,NABC1,Ndt80,NET-7,neurosin,NF-HEV,NFE2L3,NINJ2,NIPAL4,NKX6-2,NKX6.1,NKX6B,NPC1,Nrf3,NZF3,OCT6,OLIG1,OLIG2,OLIG3,OLIGO2,OMG,OMGP,OPALIN,OSP,osterix,OSX,OTF6,OTM,PAELR,PD-IALPHA,PDE8A,PDNP2,PEX5L,PEX5R,PIG2,PKC2,PLEKHH1,PLLP,PLP1,PMLP,PNPLA2,POU3F1,PP2703,PPP1R108,pqn-47,PRELID4B,PRKCBP2,PRKCZ,PRO1557,PRO2086,PRSS18,PRSS9,PTGDS,PXR2,RACK17,Rek,RSE,S-MAG,S1PR5,SCIP,scra,Scraps,SDR27X1,SEC14L5,SEMA4D,SEMAJ,SGK2,SGK3,SGKL,SIGLEC-4A,SIGLEC4A,Sky,SLC25A19,SLC25A29,SLC25A38,SLC65A1,SOX10,SOX8,SP7,SPG2,SPG35,SPG44,ST18,SV31,TF,Tif,TK14,TK25,TM4SF11,TM4SF15,TMEM10,TMEM125,TMEM163,TMEM63A,TMEM88B,TMP10,TP53I2,TRIP8b,TSPAN15,TTS-2.2,TYRO3,VHY,VLDLR,VLDLRCH,WS2E,WS4,ZC2H2C3,ZC2HC10,ZDHHC10,ZDHHC9,ZNF379,ZNF380,ZNF387
Oocyte	ABCA5,ABCC4,ABI3BP,AKD1,AMPD3,ANKRA2,ANRA2,ARV1,C4orf27,C5orf22,C5orf34,C5orf36,C7orf10,CE022,CE034,CENPE,CENPR,CEP78,CHIC1,CLSTN2,CNN3,CREB1,CSTN2,DCLRE1A,DCNL5,DCR1A,DCUN1D5,DEPD7,DEPDC7,DHX32,DNAJC3,DNJC3,DPOLB,DUS19,DUSP19,DYHC2,DYNC2H1,E41L5,EAF6,EIF4A2,EPB41L5,FAM119A,FBX43,FBXO43,GGCT,GLD2,GNPDA2,GNPI2,GOPC,GRM8,GRTP1,HOOK1,HOOK2,IF4A2,IGS11,IGSF11,ITAE,ITGAE,ITGB3BP,KIF15,LAMB1,LANC1,LANCL1,LMO3,LONF1,LONRF1,LRC49,LRCH1,LRMP,LRRC16A,LRRC49,MAL2,MCCB,MCCC2,MCTP2,MEAF6,MEST,METL9,METTL9,MFA3L,MFAP3L,MIRO1,MOBKL1B,MOBKL3,MRP4,MTERFD1,NALP9,NARS2,NID2,NLRP9,NU133,NUP133,NUP37,ORN,PAN2,PAPD4,PAPS1,PAPSS1,PCMD1,PCMTD1,PER3,POLB,PPM1A,PSA2,PSMA2,PTPRK,RAI14,RAPGEF6,REXO2,RFESD,RHOT1,RPGF6,RPIA,SHE,SKP1,SNX25,SP2,SPIR1,SPIRE1,SYNM,TAPT1,TARSH,TDRD6,TFG,THOC7,TIFA,TM131,TMCC1,TMEM131,TRAK1,TSN7,TSPAN7,UBE2U,WASF3,WDR69,Z3H7A,ZC3H7A,ZC3H8,ZN407,ZNF407
